day,date,action,shares,price,operation_profit,reason
5,2026-01-14,КУПИТЬ,1,425.9042548341754,75.17973719416045,Локальный минимум $425.90 - покупка для роста до $501.08
8,2026-01-17,ПРОДАТЬ,1,501.08399202833584,75.17973719416045,Локальный максимум $501.08 - фиксация прибыли (купили по $425.90)
10,2026-01-19,КУПИТЬ,1,458.030211557273,9.93374281843387,Локальный минимум $458.03 - покупка для роста до $467.96
12,2026-01-21,ПРОДАТЬ,1,467.96395437570686,9.93374281843387,Локальный максимум $467.96 - фиксация прибыли (купили по $458.03)
15,2026-01-24,КУПИТЬ,1,369.56538042714146,22.741560255069544,Локальный минимум $369.57 - покупка для роста до $392.31
19,2026-01-28,ПРОДАТЬ,1,392.306940682211,22.741560255069544,Локальный максимум $392.31 - фиксация прибыли (купили по $369.57)
23,2026-02-01,КУПИТЬ,1,346.1303422998163,85.85023775331092,Локальный минимум $346.13 - покупка для роста до $431.98
25,2026-02-03,ПРОДАТЬ,1,431.9805800531272,85.85023775331092,Локальный максимум $431.98 - фиксация прибыли (купили по $346.13)
27,2026-02-05,КУПИТЬ,1,398.7628155137364,48.08461859723775,Локальный минимум $398.76 - покупка для роста до $446.85
29,2026-02-07,ПРОДАТЬ,1,446.8474341109742,48.08461859723775,Локальный максимум $446.85 - фиксация прибыли (купили по $398.76)
