iter	RMSE
0	23.11482999
1	22.58239041
2	22.13124495
3	21.60307523
4	21.11910837
5	20.6236987
6	20.13466411
7	19.64860694
8	19.20346268
9	18.81452936
10	18.41228228
11	17.9956484
12	17.61348207
13	17.22926667
14	16.85969599
15	16.47884448
16	16.12344158
17	15.77160433
18	15.42951717
19	15.06889783
20	14.70912626
21	14.40991474
22	14.07845285
23	13.76682213
24	13.49984623
25	13.22238589
26	12.93004363
27	12.65074695
28	12.38536825
29	12.11233453
30	11.88681661
31	11.66475102
32	11.42671629
33	11.22568423
34	11.01784856
35	10.79623539
36	10.59001974
37	10.38924762
38	10.19275562
39	9.995763453
40	9.802014556
41	9.607971122
42	9.409008126
43	9.227096618
44	9.057703005
45	8.892198201
46	8.740535978
47	8.583341185
48	8.430798386
49	8.285232046
50	8.140672138
51	8.000140755
52	7.866786605
53	7.736433841
54	7.610755807
55	7.483982385
56	7.346878498
57	7.228607804
58	7.107316285
59	6.995674494
60	6.879051511
61	6.76970488
62	6.664510379
63	6.567323168
64	6.469126372
65	6.364685243
66	6.279472527
67	6.194263299
68	6.10695414
69	6.02404063
70	5.951638807
71	5.868070924
72	5.788323351
73	5.718218326
74	5.654892575
75	5.587852438
76	5.516074188
77	5.450198969
78	5.383614923
79	5.323293971
80	5.265113176
81	5.202276502
82	5.145204438
83	5.091488361
84	5.032568516
85	4.981813638
86	4.931468349
87	4.878988152
88	4.831066357
89	4.78464071
90	4.739536727
91	4.697172506
92	4.65469201
93	4.614189222
94	4.571635543
95	4.534203974
96	4.495927292
97	4.458765558
98	4.420809492
99	4.380737113
100	4.345785678
101	4.309445233
102	4.273107151
103	4.237753843
104	4.205460847
105	4.17581504
106	4.141166624
107	4.111520377
108	4.082612868
109	4.050945857
110	4.022393897
111	3.996860585
112	3.968293289
113	3.939715158
114	3.913190463
115	3.884971376
116	3.862205555
117	3.838440882
118	3.81557942
119	3.791723962
120	3.769260498
121	3.746326673
122	3.726742698
123	3.71016414
124	3.68680085
125	3.668806642
126	3.650940725
127	3.632929914
128	3.613132067
129	3.592324127
130	3.573477276
131	3.551346335
132	3.534481421
133	3.513765029
134	3.495731616
135	3.476162527
136	3.462026714
137	3.446243234
138	3.431589541
139	3.41672382
140	3.398234886
141	3.380356254
142	3.36634326
143	3.34814008
144	3.329785264
145	3.315390225
146	3.303636894
147	3.288386757
148	3.273851698
149	3.258504647
150	3.24096023
151	3.22740088
152	3.210611258
153	3.196839558
154	3.185365451
155	3.170314783
156	3.16035344
157	3.147006965
158	3.13353332
159	3.119704126
160	3.104153871
161	3.089889932
162	3.076563617
163	3.067736821
164	3.05453745
165	3.043821692
166	3.032909848
167	3.023328714
168	3.00950786
169	2.998304844
170	2.985445791
171	2.97274035
172	2.956795441
173	2.945117835
174	2.932994734
175	2.92113224
176	2.911554939
177	2.899741241
178	2.891025511
179	2.880662424
180	2.866629777
181	2.856787543
182	2.844597826
183	2.831123379
184	2.824918655
185	2.815415228
186	2.79887134
187	2.790854694
188	2.779476373
189	2.768968927
190	2.757265005
191	2.745318114
192	2.734352089
193	2.723374674
194	2.710532316
195	2.700019359
196	2.690483005
197	2.679111711
198	2.667084642
199	2.657986303
200	2.653400776
201	2.640763862
202	2.630599731
203	2.622401283
204	2.61670723
205	2.606502375
206	2.598320569
207	2.59329569
208	2.585194761
209	2.576822958
210	2.569516515
211	2.562223089
212	2.552054432
213	2.544390673
214	2.53820598
215	2.531423665
216	2.520747156
217	2.514350624
218	2.505365421
219	2.498149023
220	2.490694763
221	2.484468307
222	2.473883401
223	2.471548319
224	2.466792002
225	2.459424479
226	2.455153227
227	2.452142663
228	2.445938797
229	2.435377099
230	2.429168135
231	2.420896941
232	2.412108369
233	2.403106633
234	2.395684557
235	2.388322636
236	2.379981055
237	2.373050787
238	2.366505011
239	2.35383179
240	2.350852077
241	2.347193311
242	2.339609386
243	2.334019882
244	2.325162442
245	2.318273724
246	2.315457524
247	2.308192329
248	2.301414749
249	2.295543148
250	2.288761324
251	2.279879946
252	2.274418368
253	2.269455088
254	2.265952834
255	2.260931173
256	2.257581932
257	2.254623291
258	2.250071928
259	2.245667905
260	2.243541039
261	2.233747303
262	2.228305428
263	2.223906457
264	2.217829273
265	2.214920591
266	2.208822216
267	2.206632011
268	2.200430802
269	2.198887942
270	2.191216142
271	2.182204011
272	2.178750355
273	2.175163237
274	2.168821665
275	2.161656359
276	2.152895753
277	2.144897855
278	2.138955612
279	2.131931218
280	2.123678038
281	2.12203802
282	2.115298028
283	2.111708037
284	2.104001458
285	2.097630791
286	2.09199761
287	2.084779366
288	2.077364385
289	2.07109256
290	2.065213651
291	2.061799326
292	2.053315535
293	2.046387186
294	2.039292515
295	2.032395259
296	2.025797536
297	2.023543015
298	2.022022169
299	2.018211285
300	2.009880538
301	2.00328562
302	1.998599803
303	1.99563545
304	1.984517295
305	1.97879628
306	1.974161504
307	1.968361878
308	1.963203178
309	1.959786832
310	1.958260785
311	1.955164321
312	1.95351337
313	1.951948161
314	1.945361672
315	1.938665073
316	1.935849008
317	1.928584914
318	1.927644495
319	1.919166288
320	1.917369092
321	1.910742299
322	1.909796268
323	1.901885935
324	1.901049955
325	1.894600881
326	1.891136645
327	1.887075449
