iter	Passed	Remaining
0	142	71056
1	149	37108
2	155	25773
3	161	19999
4	167	16551
5	172	14232
6	178	12573
7	184	11318
8	189	10342
9	195	9567
10	201	8950
11	206	8411
12	212	7967
13	218	7588
14	224	7252
15	230	6962
16	235	6698
17	241	6467
18	247	6261
19	252	6071
20	258	5899
21	261	5676
22	266	5528
23	272	5401
24	278	5299
25	284	5188
26	290	5086
27	296	4990
28	302	4908
29	308	4826
30	313	4748
31	319	4679
32	325	4609
33	331	4543
34	337	4484
35	343	4425
36	349	4368
37	355	4322
38	361	4269
39	367	4221
40	372	4174
41	378	4130
42	384	4088
43	390	4047
44	396	4009
45	402	3970
46	408	3933
47	414	3899
48	419	3863
49	425	3829
50	431	3799
51	437	3768
52	443	3742
53	449	3714
54	455	3685
55	461	3657
56	467	3631
57	473	3609
58	480	3588
59	486	3565
60	492	3542
61	498	3521
62	504	3500
63	510	3478
64	516	3459
65	523	3442
66	530	3431
67	537	3417
68	544	3398
69	550	3380
70	556	3362
71	562	3343
72	568	3327
73	574	3308
74	580	3290
75	587	3276
76	593	3260
77	599	3244
78	606	3229
79	612	3213
80	618	3199
81	624	3183
82	630	3169
83	637	3156
84	643	3141
85	649	3127
86	655	3112
87	661	3098
88	667	3083
89	673	3069
90	680	3058
91	686	3045
92	693	3033
93	699	3020
94	705	3007
95	711	2994
96	717	2981
97	724	2969
98	730	2957
99	735	2943
100	742	2934
101	749	2922
102	756	2915
103	762	2904
104	769	2893
105	776	2885
106	782	2875
107	789	2863
108	796	2856
109	804	2852
110	810	2840
111	817	2830
112	823	2820
113	824	2791
114	830	2780
115	836	2770
116	843	2760
117	849	2749
118	855	2740
119	862	2732
120	870	2725
121	876	2716
122	883	2707
123	889	2698
124	896	2688
125	902	2677
126	908	2668
127	914	2658
128	921	2648
129	927	2639
130	933	2629
131	939	2619
132	945	2608
133	951	2599
134	957	2589
135	963	2580
136	970	2571
137	976	2561
138	983	2553
139	989	2543
140	995	2534
141	1001	2524
142	1007	2514
143	1018	2517
144	1024	2509
145	1030	2499
146	1036	2490
147	1042	2480
148	1049	2471
149	1055	2462
150	1061	2453
151	1067	2443
152	1073	2434
153	1080	2427
154	1087	2420
155	1093	2412
156	1099	2403
157	1106	2394
158	1112	2385
159	1115	2369
160	1121	2361
161	1127	2352
162	1134	2344
163	1140	2336
164	1146	2328
165	1153	2320
166	1159	2311
167	1165	2303
168	1172	2296
169	1178	2288
170	1185	2281
171	1192	2274
172	1198	2266
173	1205	2259
174	1213	2253
175	1220	2245
176	1226	2237
177	1232	2229
178	1238	2220
179	1244	2212
180	1250	2204
181	1256	2195
182	1263	2188
183	1269	2179
184	1275	2171
185	1281	2163
186	1287	2154
187	1293	2146
188	1299	2137
189	1305	2129
190	1311	2121
191	1317	2112
192	1323	2105
193	1329	2097
194	1336	2089
195	1342	2081
196	1347	2073
197	1353	2064
198	1359	2056
199	1365	2048
200	1371	2040
201	1377	2032
202	1383	2024
203	1389	2015
204	1395	2007
205	1401	1999
206	1407	1991
207	1413	1983
208	1418	1975
209	1424	1967
210	1431	1960
211	1436	1952
212	1442	1944
213	1448	1936
214	1454	1928
215	1460	1920
216	1466	1912
217	1472	1904
218	1478	1896
219	1484	1888
220	1490	1881
221	1495	1873
222	1502	1866
223	1510	1861
224	1517	1854
225	1524	1848
226	1530	1840
227	1536	1833
228	1542	1825
229	1548	1817
230	1555	1810
231	1562	1804
232	1569	1798
233	1575	1791
234	1582	1784
235	1587	1776
236	1593	1768
237	1600	1761
238	1606	1753
239	1612	1746
240	1617	1738
241	1623	1731
242	1629	1723
243	1635	1716
244	1641	1708
245	1647	1701
246	1653	1693
247	1659	1686
248	1665	1678
249	1671	1671
250	1677	1664
251	1683	1656
252	1689	1649
253	1695	1641
254	1700	1634
255	1707	1627
256	1712	1619
257	1718	1612
258	1724	1604
259	1730	1597
260	1736	1590
261	1742	1582
262	1748	1575
263	1754	1568
264	1760	1561
265	1766	1553
266	1772	1546
267	1778	1539
268	1784	1532
269	1789	1524
270	1795	1517
271	1801	1510
272	1807	1502
273	1813	1495
274	1819	1488
275	1824	1481
276	1830	1473
277	1836	1466
278	1842	1459
279	1849	1452
280	1854	1445
281	1860	1438
282	1866	1431
283	1872	1424
284	1879	1417
285	1885	1410
286	1891	1403
287	1897	1396
288	1903	1389
289	1909	1382
290	1914	1375
291	1920	1368
292	1926	1361
293	1932	1354
294	1938	1347
295	1944	1340
296	1950	1333
297	1956	1326
298	1962	1319
299	1968	1312
300	1973	1305
301	1979	1298
302	1985	1291
303	1991	1284
304	1997	1277
305	2004	1270
306	2010	1263
307	2016	1257
308	2022	1250
309	2029	1243
310	2035	1236
311	2041	1229
312	2047	1223
313	2053	1216
314	2059	1209
315	2065	1202
316	2071	1195
317	2077	1189
318	2083	1182
319	2089	1175
320	2095	1168
321	2101	1161
322	2107	1154
323	2113	1148
324	2119	1141
325	2125	1134
326	2131	1127
327	2137	1120
328	2143	1113
329	2148	1107
330	2155	1100
331	2161	1093
332	2167	1086
333	2172	1079
334	2178	1073
335	2185	1066
336	2191	1059
